algorithm,trial_idx,total_time_s
Kyber768,328,0.00012686200011557958
Kyber768,329,0.00012063799999850744
Kyber768,330,0.00015364099999715108
Kyber768,331,0.00011313700019854878
Kyber768,332,0.00011882099988724804
Kyber768,333,0.00011566999978640524
Kyber768,334,0.00011904099983439664
Kyber768,335,0.00011763200018322095
Kyber768,336,0.00012091899998267763
Kyber768,337,0.00012255100000402308
Kyber768,338,0.00013477200013767288
Kyber768,339,0.00011809800002993143
Kyber768,340,0.00013911399992139195
Kyber768,341,0.00012367699991955305
Kyber768,342,0.0010933999999451771
Kyber768,343,0.00014068800010136329
Kyber768,344,0.00012456500007829163
Kyber768,345,0.00012435000007826602
Kyber768,346,0.00013989600006425462
Kyber768,347,0.00012484300009418803
Kyber768,348,0.00013196400004744646
Kyber768,349,0.0001247510001576302
Kyber768,350,0.00013021099994148244
Kyber768,351,0.00012745100002575782
Kyber768,352,0.00012034299993501918
Kyber768,353,0.0001284699999359873
Kyber768,354,0.0001484399999753805
Kyber768,355,0.00012210399995638
Kyber768,356,0.00013259699994705443
Kyber768,357,0.00012343399998826499
Kyber768,358,0.000125690000004397
Kyber768,359,0.00012782299995706126
Kyber768,360,0.00012407000008352043
Kyber768,361,0.0001336189998255577
Kyber768,362,0.00011759500011976343
Kyber768,363,0.00011596600006669178
Kyber768,364,0.00012360799996713467
Kyber768,365,0.0001124699999763834
Kyber768,366,0.0001215499999034364
Kyber768,367,0.00011655599996629462
Kyber768,368,0.00012130200002502534
Kyber768,369,0.00011661300004561781
Kyber768,370,0.00014230000010684307
Kyber768,371,0.00011777500003518071
Kyber768,372,0.00013264399990475795
Kyber768,373,0.00012434900008884142
Kyber768,374,0.00011216799998692295
Kyber768,375,0.00011602799986576429
Kyber768,376,0.0001185589999295189
Kyber768,377,0.00012086699985047744
Kyber768,378,0.00014205000002220913
Kyber768,379,0.00013111200019011449
Kyber768,380,0.0001365390000955813
Kyber768,381,0.00012272000003576977
Kyber768,382,0.0001250349998827005
Kyber768,383,0.00012763800009452098
Kyber768,384,0.00012697700003627688
Kyber768,385,0.00014071400005377654
Kyber768,386,0.0001117460001296422
Kyber768,387,0.00011359399991306418
Kyber768,388,0.00017460700019000797
Kyber768,389,0.00012364299982436933
Kyber768,390,0.00011604499991335615
Kyber768,391,0.00011312100014038151
Kyber768,392,0.0001201510001465067
Kyber768,393,0.00014995399988038116
Kyber768,394,0.00012566400005198375
Kyber768,395,0.00011799799995060312
Kyber768,396,0.00013178300014260458
Kyber768,397,0.00011511399998198613
Kyber768,398,0.00011781199987126456
Kyber768,399,0.00012446300002011412
Kyber768,400,0.00012646600021071208
Kyber768,401,0.00013780599988422182
Kyber768,402,0.00011469800006125297
Kyber768,403,0.0001175570000668813
